ReserveStatus,Male,Price,CouponDiscount,Domestic,VIPStatus,TripReason,Vehicle,Cancel,LeadTime,IsWeekend,DiscountRatio,BookingMonth,DepartureMonth,BookingWeekday,DepartureWeekday,DepartureHour,BookingHour,FromFreq,ToFreq
3,0,40.54,0.0,1,True,Work,Bus,0,63272.75,0,0.0,9,9,1,2,11,17,3394,1311
3,1,50.27,0.0,1,True,Work,Bus,0,7215.157,0,0.0,7,7,3,3,16,13,14641,2671
3,1,24.73,0.0,1,True,Work,Bus,0,57761.133,0,0.0,10,10,6,0,2,9,14641,3607
3,1,26.35,0.0,1,True,Int,Bus,0,312199.797,0,0.0,3,3,3,0,13,22,14641,1327
2,1,23.48,0.0,1,Unknown,Int,Train,0,1471280.147,0,0.0,9,9,1,4,20,20,1759,15161
3,0,53.51,0.0,1,True,Work,Bus,0,72719.39,0,0.0,10,11,0,1,17,20,14641,1
3,0,52.7,0.0,1,True,Work,Bus,0,112389.73,0,0.0,5,5,3,4,17,10,3394,629
2,1,52.76,0.0,1,Unknown,Work,Train,0,24760.317,0,0.0,10,10,2,2,20,14,1759,15161
2,1,41.41,0.0,1,Unknown,Int,Train,0,272209.337,1,0.0,7,7,2,5,17,13,14641,6142
3,0,46.62,0.0,1,True,Int,Bus,0,636363.39,1,0.0,5,6,6,6,19,10,380,1237
3,1,34.56,0.0,1,True,Work,Bus,0,142447.763,1,0.0,2,2,5,6,18,2,4860,523
2,1,49.8,0.0,1,Unknown,Int,Train,0,1481041.603,0,0.0,4,5,0,3,18,15,3394,15161
3,1,52.2,0.0,1,True,Work,Bus,0,555961.327,0,0.0,9,9,1,0,11,1,1428,6
3,1,41.15,0.0,1,True,Work,Bus,0,263298.927,0,0.0,5,5,0,3,20,18,4860,41
3,0,21.89,0.0,1,True,Int,Bus,0,64427.897,0,0.0,5,5,2,3,7,13,14641,90
3,1,26.35,0.31,1,True,Int,Bus,0,60879.307,1,0.011764705882352941,3,3,6,6,20,3,14641,25
2,0,23.48,0.0,1,Unknown,Work,Train,0,800206.253,0,0.0,5,5,5,0,20,14,1759,15161
3,1,29.59,0.0,1,True,Work,Bus,0,244343.607,0,0.0,8,8,5,1,7,11,449,15161
5,1,24.73,0.0,1,True,Work,Bus,1,111565.677,0,0.0,10,10,2,3,18,11,14641,3607
3,0,38.92,0.0,1,True,Int,Bus,0,30675.807,0,0.0,7,7,1,1,23,14,14641,189
